TradeID,Trader,Broker,Symbol,AccountID,AccountSize,StartegyName,Profile,Entry Type,Exit Type,Start Date,End Date,Trade Duration(m),Start Price,End Price,Contracts,Position size,Margin,Commission,Profit,Drawdown,Drawdown %,Run-up,Run-up %
Incubation7BinanceB002BTCUSDT45014.5028474.10,Algo,Binance,BTCUSDT,B002,99929.6,ReversalPnF,Incubation7,Short,L_Time_Exit,29/03/2023 11:42,29/03/2023 11:53,11.19,28474.1,28544.5,1000,28474.1,26000000,22.81,-81.8,-86.29,0,26.81,0
Incubation7BinanceB002BTCUSDT45014.5928404.80,Algo,Binance,BTCUSDT,B002,100034.4,ReversalPnF,Incubation7,Short,L_Time_Exit,29/03/2023 13:29,29/03/2023 14:02,32.97,28404.8,28300,1000,28404.8,26000000,22.68,93.43,-14.26,-0.05,107.64,0.38
Incubation7BinanceB002BTCUSDT45014.6628348.30,Algo,Binance,BTCUSDT,B002,100143.1,ReversalPnF,Incubation7,Long,S_Time_Exit,29/03/2023 15:29,29/03/2023 15:57,27.58,28348.3,28457,1000,28348.3,26000000,22.72,97.35,-62.14,-6.21,70.76,7.08
Incubation7BinanceB002BTCUSDT45014.7028349.60,Algo,Binance,BTCUSDT,B002,100183.3,ReversalPnF,Incubation7,Long,S_Time_Exit,29/03/2023 16:22,29/03/2023 16:49,27.12,28349.6,28389.9,1000,28349.6,26000000,22.7,28.95,-44.84,-4.48,87.96,8.8
LiveIBU11432757MNQM345013.7612678.50,Algo,IB,MNQM3,U11432757,1374.6,ReversalPnF,Live,Long,Profit Target,28/03/2023 17:30,28/03/2023 18:10,40,12678.5,12698.5,1,25357,3000,2.5,37.5,-58.25,0,30.25,0
LiveIBU11432757MNQM345014.8012873.50,Algo,IB,MNQM3,U11432757,1261.35,ReversalPnF,Live,Short,Stop Loss,29/03/2023 17:40,29/03/2023 19:10,90,12873.5,12923.75,1,25747,3000,2.5,-103,-96.25,0,35.25,0
LiveIBU11432757MNQM345014.9112898.50,Algo,IB,MNQM3,U11432757,1180.69,ReversalPnF,Live,Short,L_Time_Exit,29/03/2023 20:00,29/03/2023 21:50,110,12898.5,12938.5,1,25797,3000,2.5,-82.5,-88.25,-0.34,15.75,0.06
LiveIBU11432757MNQM345015.9213054.50,Algo,IB,MNQM3,U11432757,1208.35,ReversalPnF,Live,Long,Profit Target,30/03/2023 21:50,30/03/2023 22:00,10,13054.5,13074.5,1,26109,3000,2.5,37.5,-1.25,0,27.25,0
Incubation1IBSIM001MNQM345013.7312723.00,Algo,IB,MNQM3,SIM001,4775.5,ReversalPnF,Incubation1,Long,Stop Loss,28/03/2023 17:11,28/03/2023 17:33,21.3,12723,12670,1,25446,3000,2.5,-108.5,-58.25,0,14.25,0
Incubation1IBSIM001MNQM345014.7412883.50,Algo,IB,MNQM3,SIM001,4816,ReversalPnF,Incubation1,Short,Profit Target,29/03/2023 17:27,29/03/2023 17:45,17.92,12883.5,12863.25,1,25767,3000,2.5,38,-24.25,-0.1,33.25,0.13
